nct_id,title,acronym,status,study_results,conditions,interventions,outcome_measures,sponsors,gender,min_age,max_age,age_groups,phases,enrollment,funded_bys,study_types,exp_acc_types,study_designs,other_ids,start_date,primary_completion_date,completion_date,study_first_posted,last_update_posted,locations,documents,url
NCT04343183,Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection, ,Not yet recruiting,No Results Available,COVID-19,Hyperbaric Oxygen Therapy,Decrease incidence of intubation by 30% or greater|Decrease renal injury,Ochsner Health System,All,18 Years, ,Adult|Older Adult,Not Applicable,48,Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,STUDY00001051,April 2020,June 2020,June 2020,"April 13, 2020","April 13, 2020","Ochsner Medical Center, New Orleans, Louisiana, United States", ,https://ClinicalTrials.gov/show/NCT04343183
NCT04347915,The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19, ,Recruiting,No Results Available,COVID-19,Clevudine|Placebo,The rate of subjects tested as negative SARS-Coronavirus-2 (SARS-CoV-2)|The rate of subjects tested as negative SARS-Coronavirus-2 (SARS-CoV-2) in consecutive two days of Real-Time RT-PCR tests|The rate of subjects indicated by the improvement of lung invasive|The change of viral load,Bukwang Pharmaceutical,All,19 Years, ,Adult|Older Adult,Phase 2,60,Industry,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,BK-CLV-201,"May 6, 2020","January 30, 2021","March 31, 2021","April 15, 2020","January 27, 2021","Korea University Guro Hospital, Seoul, Korea, Republic of", ,https://ClinicalTrials.gov/show/NCT04347915
NCT04470622,Aprepitant Injectable Emulsion in Patients With COVID-19 (GUARDS-1), ,Terminated,No Results Available,COVID-19,Aprepitant injectable emulsion|Saline Placebo,"Proportion of subjects alive and discharged from the hospital.|Time to death or respiratory failure, defined as any of the following: endotracheal intubation and mechanical ventilation; oxygen delivered by high-flow nasal cannula; noninvasive positive pressure ventilation; extracorporeal membrane oxygenation (ECMO).|Time to discharge from hospital.|Change from Baseline in Interleukin 6 (IL-6).|Incidence of treatment-emergent adverse events.",Heron Therapeutics,All,18 Years, ,Adult|Older Adult,Phase 2,27,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HTX-019-202,"July 20, 2020","April 9, 2021","June 3, 2021","July 14, 2020","October 20, 2021","Helen Keller Hospital, Sheffield, Alabama, United States|University of California, Irvine Medical Center, Orange, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States", ,https://ClinicalTrials.gov/show/NCT04470622
NCT04610554,Lung Diffusing Capacity for Nitric Oxide and Carbon Monoxide Early After Mild-to-severe COVID-19, ,Completed,No Results Available,COVID-19 Pneumonia, ,Lung diffusing capacity for nitric oxide (DLNO)|Lung diffusing capacity for carbon monoxide (DLco),"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",All, , ,Child|Adult|Older Adult, ,74,Other,Observational, ,Observational Model: Cohort|Time Perspective: Cross-Sectional,SARS-CoV-2_DLNO,"May 14, 2020","October 12, 2020","October 12, 2020","October 30, 2020","October 30, 2020","IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy", ,https://ClinicalTrials.gov/show/NCT04610554
NCT04889040,Study to Evaluate the Effects of RO7496998 (AT-527) in Non-Hospitalized Adult and Adolescent Participants With Mild or Moderate COVID-19,MORNINGSKY,Terminated,No Results Available,COVID-19,RO7496998|Placebo,"Time to Alleviation or Improvement of COVID-19 Symptoms (21.5 hours)|Time to Alleviation or Improvement of COVID-19 Symptoms (43 hours)|Time to Alleviation of COVID-19 Symptoms (21.5 hours)|Time to Alleviation of COVID-19 Symptoms (43 hours)|Time to One-Category Improvement of Baseline Presenting COVID-19 Symptoms|Time to Alleviation of Individual Symptoms|Proportion of Participants Requiring Hospitalization for COVID-19|Proportion of Participants with Greater than or Equal to 1 COVID-19 Related Medically Attended Visit|Duration of Fever|Frequency of COVID-19 Related Complications|Proportion of Participants with any Post-Treatment Infection|Change from Baseline in the Amount of Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) Virus RNA|Time to Cessation of SARS-CoV-2 Viral Shedding|Proportion of Participants Positive for SARS-CoV-2 Virus RNA at Specified Timepoints|Area Under the Curve (AUC) in the Amount of SARS-CoV-2 Virus RNA|Percentage of Participants with Adverse Events (AEs)|Plasma Concentration of AT-511, AT-551, AT-229 and AT-273 at Specified Timepoints","Hoffmann-La Roche|Atea Pharmaceuticals, Inc.",All,12 Years, ,Child|Adult|Older Adult,Phase 3,1386,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",CV43043|2020-005759-18,"April 28, 2021","November 17, 2021","November 17, 2021","May 17, 2021","February 4, 2022","Instituto Medico Rio Cuarto, Cordoba, Argentina|Instituto Ave Pulmo, Mar Del Plata, Argentina|Clínica Independencia, Munro, Argentina|Instituto Medico de la Fundacion Estudios Clinicos, Rosario, Argentina|Clinica Mayo de U.M.C.B. S.R.L, San Miguel de Tucumán, Argentina|Sanatorio Medico de Diagnostico Y Tratamiento, Santa Fe, Argentina|Maison Médicale La Brèche, Châtelineau, Belgium|Private Practice Dr Jean Benoit Martinot, Erpent, Belgium|Medif, Gozée, Belgium|L2 Ip Instituto de Pesquisas Clinicas Ltda ME; Centro Medico Hospitalar, Brasilia, DF, Brazil|Chronos Pesquisa Clinica, Taguatinga, DF, Brazil|Hospital das Clinicas - UFMG, Belo Horizonte, MG, Brazil|Hospital Agamenon Magalhães, Recife, PE, Brazil|Hospital Nossa Senhora das Graças, Curitiba, PR, Brazil|Hospital Erasto Gaertner, Curitiba, PR, Brazil|Hospital E Maternidade Celso Pierro PUCCAMP, Campinas, SP, Brazil|Fundacao Faculdade Regional de Medicina de Sao Jose Do Rio Preto Hospital de Base - PPDS, Sao Jose Do Rio Preto, SP, Brazil|CPQuali Pesquisa Clínica Sao Paulo, Sao Paulo, SP, Brazil|Institute of Infectious Diseases Emilio Ribas, Sao Paulo, SP, Brazil|Conjunto Hospitalar do Mandaqui, Sao Paulo, SP, Brazil|Healthy Medical Center SAS, Zipaquirá, Colombia|Aalborg Universitetshospital, Aalborg, Denmark|Rigshospitalet Copenhagen University Hospital, Copenhagen, Denmark|Sjællands Universitetshospital, Roskilde, Roskilde, Denmark|Centre Hospitalier Victor Dupouy, Argenteuil, France|Hôpital Saint Joseph, Marseille, France|Hopital Tenon, Paris, France|Klinikum Chemnitz gGmbH, Chemnitz, Germany|Universitätsklinikum Frankfurt, Frankfurt, Germany|Universitätsklinikum Freiburg, Freiburg, Germany|Praxis am Ebertplatz, Köln, Germany|ASST di Lecco - Presidio Ospedaliero A. Manzoni di Lecco, Lecco, Lombardia, Italy|Ospedale San Raffaele S.r.l., Milano, Lombardia, Italy|Comprensorio Amedeo Di Savoia Birago Di Vische, Torino, Piemonte, Italy|Funabashi Central Hospital, Funabashi-Shi, Japan|Higashiosaka city Medical Center, Higashiosaka-Shi, Japan|Rinku General Medical Center, Izumisano, Japan|Sagamihara Kyodo Hospital, Kanagawa, Japan|Misyuku hospital, Meguro-Ku, Japan|Nagoya City East Medical Center, Nagoya-Shi Chikusa-Ku, Japan|Fujita Health University Banbuntane Hotokukai Hospital, Nagoya-shi, Japan|Tokyo Metropolitan Police Hospital, Nakano-Ku, Japan|IUHW Narita Hospital, Narita, Japan|Houjin Syadan Kouhoukai Takagi Hospital, Okawa-Shi, Japan|Okayama City Hospital, Okayama, Japan|Ome Municipal General Hospital, Ome-Shi, Japan|Osaka City General Hospital, Osaka, Japan|National Hospital Organization Kinki-Chuo Chest Medical Center, Sakai-shi, Japan|Tokyo Shinagawa Hospital Medical Corporation Association Tokyokyojuno-kai, Shinagawa, Japan|St. Luke's International Hospital, Tokyo, Japan|Edogawa Medicare Hospital, Tokyo, Japan|Center Hospital of the National Center for Global Health and Medicine, Tokyo, Japan|JCHO Tokyo Shinjuku Medical Center, Tokyo, Japan|Tokyo Medical University Hachioji Medical Center, Tokyo, Japan|National Hospital Organization Kasumigaura Medical Center, Tsuchiurat, Japan|Mie Prefectural Medical Centre, Yokkaichi, Japan|CIMAB SA de CV, Torreón, Coahuila, Mexico|Panamerican Clinical Research S.A de C.V., Guadalajara, Jalisco, Mexico|Clinstile S.A de C.V., Mexico City, Mexico CITY (federal District), Mexico|PanAmerican Clinical Research, Querétaro, Queréaro, Queretaro, Mexico|Instituto Jalisciense de Investigacion Clinica S.A. de C.V., Guadalajara, Mexico|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran, Mexico, Mexico|CEPREP; Hospital Universitario, Monterrey, Mexico|Hospital Senhora da Oliveira - Guimaraes, E.P.E, Guimarães, Portugal|Centro Hospitalar de Leiria (CHL), Leiria, Portugal|Unidade Local de Saude de Matosinhos SA, Matosinhos, Portugal|Prof. Dr. Matei Bals Institute of Infectious Diseases, Bucuresti, Romania|County Hospital Caracal, Caracal, Romania|Sibiu Emergency Clinical County Hospital, Sibiu, Romania|Dr. Victor Babes Clinical Hospital of Pneumophthisiology and Infectious Diseases, Timişoara, Romania|Dr JM Engelbrecht Trial site, Cape Town, South Africa|TASK Eden, George, South Africa|Langeberg Clinical Trials, Kraaifontein, South Africa|Clinical Projects Research, Worcester, South Africa|Hôpital Universitaire de Genève (HUG), Genève, Switzerland|Universitätsspital Zürich, Zürich, Switzerland|Gazi Universitesi Tip Fakultesi, Ankara, Turkey|Hacettepe University Medical Faculty, Ankara, Turkey|Koc University Medical Faculty Hospital, Istanbul, Turkey|Ege University Medical Faculty, Izmir, Turkey|Karadeniz Technical University Faculty of Medicine, Trabzon, Turkey|Ankara University Medical Faculty - PPDS, Çankaya, Turkey|Istanbul University Cerrahpasa Medical Faculty Hospital; Tesvikiye Caddesi No:20, Şi̇şli̇, Turkey|Municipal Non-profit enterprise Central City Clinical Hospital of Ivano-Frankivsk City Council, Ivano-Frankivsk, Katerynoslav Governorate, Ukraine|Municipal Non-profit Enterprise ""City Clinical Hospital #13"" of Kharkiv City Council, Kharkiv, Kharkiv Governorate, Ukraine|Public Non-Profit Enterprise ""City Outpatient Clinic #9"" of Kharkiv City Council, Kharkiv, Kharkiv Governorate, Ukraine|CNPE City Clinical Hospital #6 of DCC, Dnipro, Kholm Governorate, Ukraine|Municipal Non-profit Enterprise ""City Clinical Hospital # 4"" of Dnipro City Council, Dnipro, KIEV Governorate, Ukraine|CNPE Ivano-Frankivsk Regional Centre of Phthisiology and Pulmonology of IFRC, Ivano Frankivsk, KIEV Governorate, Ukraine|Private Enterprise Private Manufacture Company ""Acinus"", diagnostic and treatment center, Kirovograd, KIEV Governorate, Ukraine|Medical Center LLC ""Harmony of Beauty"", Kyiv, KIEV Governorate, Ukraine|CNE Kyiv City Clinical Hospital#1 of Exec. Body, Kyiv, KIEV Governorate, Ukraine|Medical Center of LLC Preventclinic, Kyiv, KIEV Governorate, Ukraine|Kyiv Railway Clinical Hospital No2 of Branch Health Center of the JSC Ukrainian Rail, Kyiv, KIEV Governorate, Ukraine|Polyclinic of Center of Medical Service and Rehabilitation of State JSHC Artem, Kyiv, KIEV Governorate, Ukraine|Communal Non-Commercial Enterprise Vinnytsia City Clinical Hospital 1, Vinnytsya, Podolia Governorate, Ukraine|Communal Non-Profit Enterprise City Hospital #7 of Zaporizhzhia City Council, Zaporizhzhia, Tavria Okruha, Ukraine", ,https://ClinicalTrials.gov/show/NCT04889040
NCT04331509,COVID-19 Symptom Tracker, ,Recruiting,No Results Available,COVID-19,No Intervention,Physical health symptoms|Lack of physical health symptoms|Fever,King's College London|Zoe Global Limited|Massachusetts General Hospital|Harvard School of Public Health (HSPH)|Stanford University,All,18 Years, ,Adult|Older Adult, ,10000000,Other,Observational, ,Observational Model: Cohort|Time Perspective: Prospective,COVID-19 Symptom tracker,"March 23, 2020","March 23, 2022","March 23, 2022","April 2, 2020","April 7, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States|King's College London, London, United Kingdom", ,https://ClinicalTrials.gov/show/NCT04331509
NCT04742569,Wearable Diagnostic for Detection of COVID-19 Infection, ,Completed,No Results Available,COVID-19, ,"The primary outcome of interest are performance of the BioSticker, a medical grade multi-parameter wearable biosensor.|The primary outcome of interest are performance of the BioSticker wearable for detecting early onset of active COVID-19 related symptoms.|The primary outcome of interest is the sensitivity of the BioCloud-based algorithms in detecting early onset of active COVID-19.|The secondary outcomes of interest include correlation of biometric data indicators to patient reported symptoms.","ClinOne, Inc.|BioIntelliSense, Inc|Phillips North America, LLC|University of Colorado, Denver|United States Department of Defense",All,18 Years, ,Adult|Older Adult, ,790,Industry|Other|U.S. Fed,Observational, ,Observational Model: Cohort|Time Perspective: Prospective,1294415,"December 21, 2020","January 15, 2022","January 15, 2022","February 8, 2021","January 20, 2022","ClinOne, Inc, Greenwood Village, Colorado, United States", ,https://ClinicalTrials.gov/show/NCT04742569
NCT05197153,"A Study to Evaluate the Safety and Immunogenicity of Booster With AZD1222, mRNA-1273, or MVC-COV1901 Against COVID-19", ,Not yet recruiting,No Results Available,COVID-19 Vaccine,Half dose of MVC-COV1901|Full dose of MVC-COV1901|AZD1222|Half dose of mRNA-1273,Incidence of Adverse Events from Day 1 to 28|Primary Immunogenicity-1|Primary Immunogenicity-2|Primary Immunogenicity-3|Primary Immunogenicity-4|Incidence of Adverse Events from Day 1 to 181|Secondary Immunogenicity (Humoral)-1|Secondary Immunogenicity (Humoral)-2|Secondary Immunogenicity (Humoral)-3|Secondary Immunogenicity (Cellular),Medigen Vaccine Biologics Corp.|Coalition for Epidemic Preparedness Innovations,All,18 Years,80 Years,Adult|Older Adult,Phase 2,960,Industry|Other,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",CT-COV-24,January 2022,April 2022,December 2022,"January 19, 2022","January 19, 2022","Kaohsiung Medical University Chung-Ho Memorial Hospital, Kaohsiung, Taiwan|National Taiwan University Hospital, Taipei, Taiwan|Taipei Municipal Wan Fang Hospital, Taipei, Taiwan|Taipei Veteran General Hospital, Taipei, Taiwan", ,https://ClinicalTrials.gov/show/NCT05197153
NCT04523090,Catalysing the Containment of COVID-19,C3-RCT,Recruiting,No Results Available,COVID-19,Nitazoxanide|Placebo,"Time specific disease severity|Progression to severe disease|Need for respiratory support (high flow nasal oxygen, non-invasive ventilation, or intubation) in those admitted to hospital because of disease progression.|In-hospital and 30- and 60-day all-cause mortality.|Time-specific viral load as measured by RT-PCR using NP swabs and sputum (where available).|Cough aerosol sampling positivity|Duration and severity of symptoms.|Time-specific antibody titres (IgG and IgM).|COVID-19 incidence rates in contacts.|Adverse events","University of Cape Town|Medical Research Council, South Africa|Aurum Institute|National Institutes of Health (NIH)|Texas Tech University Health Sciences Center|University of KwaZulu|Perinatal HIV Research Unit of the University of the Witswatersrand",All,18 Years,120 Years,Adult|Older Adult,Phase 2|Phase 3,440,Other|NIH,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",C3-RCT,"August 27, 2020",December 2021,February 2022,"August 21, 2020","June 7, 2021","The Aurum Institute, Tembisa, Gauteng, South Africa|University of KwaZulu-Natal, Durban, KwaZulu-Natal, South Africa|Perinatal HIV Research Unit, Klerksdorp, North West, South Africa|University of Cape Town, Cape Town, Western Cape, South Africa", ,https://ClinicalTrials.gov/show/NCT04523090
NCT05195736,Predicting COVID-19 Patients' Clinical Outcomes Using ICU Mobility Scale and MRC Sum Score, ,Completed,No Results Available,COVID-19, ,Barthel index|Hospitalization days,Taichung Veterans General Hospital,All, , ,Child|Adult|Older Adult, ,33,Other,Observational, ,Observational Model: Cohort|Time Perspective: Retrospective,CE21317A#1,"September 16, 2021","December 31, 2021","December 31, 2021","January 19, 2022","February 3, 2022","Taichung Veterans General Hospital, Taichung, Republic Of China(R.O.C), Taiwan", ,https://ClinicalTrials.gov/show/NCT05195736
NCT04452669,VentaProst in Subjects With COVID-19 Requiring Mechanical Ventilation,VPCOVID,Completed,No Results Available,COVID-19,VentaProst (inhaled epoprostenol delivered via a dedicated delivery system),Reduction in Respiratory Failure|Reduction in Cardiac/Circulatory Failure|Improvement in Oxygenation|Improved Clinical Outcomes,Aerogen Pharma Limited|Ohio State University,All,18 Years, ,Adult|Older Adult,Phase 2,11,Industry|Other,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",APC-VPCOV-CLN-001,"September 15, 2020","June 29, 2021","June 29, 2021","June 30, 2020","August 5, 2021","Ohio State University, Columbus, Ohio, United States", ,https://ClinicalTrials.gov/show/NCT04452669
NCT04854928,Study to Evaluate a Single Dose of LTX-109 in Subjects With COVID-19 (Coronavirus Disease 2019) Infection., ,Recruiting,No Results Available,COVID-19,"LTX-109 gel, 3%|Placebo gel",Reduction in Severe Acute Respiratory Syndrome Corona Virus 2 (SARS-CoV-2 ) viral load in the deep nasal cavity as measured by the amount of live virus in the samples.|Reduction in SARS-CoV-2 viral load in the anterior nasal cavity as measured by the amount of live virus in the samples.|Assessment of safety and tolerability by frequency and seriousness of Adverse Events (AE)|Assessment of safety and tolerability by intensity of AE,Pharma Holdings AS|CTC Clinical Trial Consultants AB,All,18 Years, ,Adult|Older Adult,Phase 2,60,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",C21-109-09,"May 3, 2021",February 2022,May 2022,"April 22, 2021","September 20, 2021","ClinSmart Sweden AB, Uppsala, Sweden", ,https://ClinicalTrials.gov/show/NCT04854928
NCT04406389,Anticoagulation in Critically Ill Patients With COVID-19 (The IMPACT Trial),IMPACT,Recruiting,No Results Available,COVID-19,Enoxaparin sodium|Unfractionated heparin|Fondapariniux|Argatroban,"30-day mortality|Length of Intensive Care Unit (ICU) Stay in Days|Number of documented venous thromboembolism (VTE), arterial thrombosis (stroke, myocardial infarction, other) and microthrombosis events|Number of major and clinically relevant non-major bleeding events",Weill Medical College of Cornell University,All,18 Years, ,Adult|Older Adult,Phase 4,186,Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20-04021936,"October 13, 2020",June 2022,December 2022,"May 28, 2020","August 2, 2021","Weill Cornell Medicine, New York, New York, United States", ,https://ClinicalTrials.gov/show/NCT04406389
NCT04291053,The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19, ,Not yet recruiting,No Results Available,COVID-19,Huaier Granule,Mortality rate|Clinical status assessed according to the official guideline|The differences in oxygen intake methods|Duration (days) of supplemental oxygenation|Duration (days) of mechanical ventilation|The mean PaO2/FiO2|Length of hospital stay (days)|Length of ICU stay (days)|Pulmonary function,Tongji Hospital,All,18 Years,75 Years,Adult|Older Adult,Phase 2|Phase 3,550,Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TJ-IRB20200205,"April 1, 2020","August 1, 2020","September 1, 2020","March 2, 2020","March 17, 2020", , ,https://ClinicalTrials.gov/show/NCT04291053
NCT04842435,Clinical Study in the Treatment of Patients With Moderate Course of COVID-19, ,Recruiting,No Results Available,COVID-19,COVID-globulin|Placebo,"The proportion of subjects in the study groups in whom, during the first 7 days after drug administration, one of the following events developed according to the laboratory-instrumental methods or on the basis of a clinical presentation|All-cause mortality|The elimination time of the SARS-CoV-2 virus|The median time to clinical improvement on the WHO Ordinal Scale for Clinical Improvement|The incidence of severe and extremely severe COVID-19 disease|The need for respiratory support|The need for invasive mechanical ventilation of the lungs, ECMO|Time to cancellation of oxygen support|The need to stay at the intensive care unit|Duration of fever (≥ 380C), days|The dynamics of the decrease in points on the NEWS scale|Dynamical CRP, ferritin, D-dimer values|Changes in the degree of lung lesion determined by the CT",Microgen,All,18 Years,65 Years,Adult|Older Adult,Phase 2|Phase 3,376,Other,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",IGK-P-II/III-00-003/2020,"April 12, 2021","September 30, 2021","October 5, 2021","April 13, 2021","May 14, 2021","15. Municipal Autonomous Institution ""Central City Clinical Hospital No. 24"", Ekaterinburg, Russian Federation|9. State Autonomous Healthcare Institution ""Professor A. F. Agafonov Republican Clinical Infectious Hospital"", Kazan, Russian Federation|13. State Budgetary Healthcare Institution ""Specialized Clinical Infectious Diseases Hospital"" of the Ministry of Health of the Krasnodar Territory, Krasnodar, Russian Federation|6. State Budgetary Healthcare Institution ""Scientific and Research Institute Professor S. V. Ochapovskiy Territorial Clinical Hospital"" of the Ministry of Health of the Krasnodar Territory, Krasnodar, Russian Federation|1. State Budgetary Institution of Healthcare of Moscow ""City Clinical Hospital No. 40 of the Moscow Department of Health"", Moscow, Russian Federation|14. State Budgetary Institution of Healthcare of Moscow ""Infectious Clinical Hospital No. 2"" of the Moscow Department of Health, Moscow, Russian Federation|16. State Budgetary Institution of Healthcare of Moscow ""Infectious Clinical Hospital No. 1"" of the Moscow Department of Health, Moscow, Russian Federation|18. State Budgetary Institution of Healthcare of Moscow ""City Clinical Hospital No. 52 of the Moscow Department of Health"", Moscow, Russian Federation|19. State Budgetary Institution of Healthcare of Moscow ""City Clinical Hospital of V.P. Demikhova of the Moscow Department of Health"", Moscow, Russian Federation|20. State Budgetary Institution of Healthcare of Moscow ""Scientific and Research Institute of N.V. Sklifosovskiy of the Moscow Department of Health"", Moscow, Russian Federation|21. State Budgetary Institution of Healthcare of Moscow ""City Clinical Hospital No. 4 of the Moscow Department of Health"", Moscow, Russian Federation|3. State Budgetary Healthcare Institution of Moscow ""City Clinical Hospital No. 24 of the Moscow Department of Health"", Moscow, Russian Federation|7. Federal State Budgetary Institution ""Central Clinical Hospital with an Outpatient Facility"" of the Administrative Directorate of the President of the Russian Federation, Moscow, Russian Federation|4. Federal State Budgetary Educational Institution of Higher Education ""Orenburg State Medical University"" of the Ministry of Health of the Russian Federation, Orenburg, Russian Federation|10. Federal State Budgetary Educational Institution of Higher Education ""Academician I. P. Pavlov Ryazan State Medical University"" of the Ministry of Health of the Russian Federation, Ryazan', Russian Federation|5. Saint Petersburg State Budgetary Healthcare Institution ""City Hospital No. 40 of the Kurortny Region"", Saint Petersburg, Russian Federation|12. Federal State Budgetary Educational Institution of Higher Education ""Samara State Medical University"" of the Ministry of Health of the Russian Federation, Samara, Russian Federation|11. Regional State Budgetary Healthcare Institution ""Clinical Hospital No. 1"", Smolensk, Russian Federation|17. Federal State Budgetary Educational Institution of Higher Education ""Bashkiria State Medical University"" of the Ministry of Health of the Russian Federation, Ufa, Russian Federation|8. State Budgetary Healthcare Institution of the Yaroslavl Region ""Yaroslavl Regional Clinical Hospital of War Veterans - International Center for Problems of the Elderly ""Zdorovoye Dolgoletiye"", Yaroslavl, Russian Federation|2. State Budgetary Institution of Healthcare of the Moscow Region ""Zhukovskiy City Clinical Hospital"", Zhukovskiy, Russian Federation", ,https://ClinicalTrials.gov/show/NCT04842435
NCT04780672,Clinical Study in the Treatment of Patients With COVID-19, ,Recruiting,No Results Available,COVID-19,Molixan|Placebo,WHO Ordinal Scale for Clinical Improvement|Mortality|Duration of hospitalization|Mechanical ventilation|Time to cancellation of oxygen support|Invasive mechanical ventilation|Stay in the intensive care unit|The transition of the disease to an extremely severe course|Fever|The dynamics of the National Early Warning Score (NEWS)|The dynamics of changes in the level of C-reactive protein|The dynamics of residual symptoms|The dynamics of blood biochemical parameters|The dynamics of CT signs,Pharma VAM,All,18 Years,75 Years,Adult|Older Adult,Phase 3,330,Other,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",MNCV-III/2-2020,"March 9, 2021","May 31, 2022","September 30, 2022","March 3, 2021","October 11, 2021","Yaroslavl Regional Clinical Hospital for War Veterans - The International Center for the Elderly ""Healthy Longevity"", Yaroslavl, Russian Federation", ,https://ClinicalTrials.gov/show/NCT04780672
NCT04342637,COVID-19 Endoscopy Survey,COVID-19 Endo,Completed,No Results Available,COVID-19,Practice details,Effect of GI societies recommendations on prevention of SARS-CoV-2 infection|To measure the percentage change in performed endoscopic procedure in response to COVID-19|Effect of COVID-19 precautions on procedure time|Effect of COVID-19 precautions on time of disinfection|Effect of COVID-19 precautions on procedure success|Effect of COVID-19 precautions on complications|Effect of COVID-19 precautions on working time|Effect of COVID-19 precautions on staff number,Al-Azhar University,All,30 Years,70 Years,Adult|Older Adult, ,163,Other,Observational, ,Observational Model: Cohort|Time Perspective: Prospective,WES-2,"April 10, 2020","April 25, 2020","May 1, 2020","April 13, 2020","May 20, 2020","Kings County Hospital Center, Brooklyn, NY, USA, Albertson, New York, United States|Faculty of Medicine, Zagazig University, Zagazig, Sharkia, Egypt|Al-Azhar Univerisity, Cairo, Egypt|Ahvaz Imam hospital, Ahvaz, Iran, Islamic Republic of", ,https://ClinicalTrials.gov/show/NCT04342637
NCT04412486,COVID-19 Convalescent Plasma (CCP) Transfusion, ,Recruiting,No Results Available,COVID-19,COVID Convalescent Plasma,Change in PaO2/FiO2 after CCP transfusion.|Change in pulse oximetry status after CCP transfusion.|Change in aO2 after CCP transfusion.|Change in respiratory rate after CCP transfusion.|Change in intubation status after CCP transfusion.|Change in Sequential Organ Failure Assessment (SOFA).|Change in 8-point ordinal clinical deterioration scale.|Length of ICU/hospital stay.|Development of plasma transfusion reactions.|Development of immune complex disorders.|Change in anti CoV-2 IgM and IgG levels.,"Gailen D. Marshall Jr., MD PhD|University of Mississippi Medical Center",All,18 Years, ,Adult|Older Adult,Early Phase 1,100,Other,Interventional, ,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-0137,"June 1, 2020","May 31, 2022","May 31, 2022","June 2, 2020","December 1, 2021","University of Mississippi Medical Center, Jackson, Mississippi, United States", ,https://ClinicalTrials.gov/show/NCT04412486
NCT05075915,Transfusion and COVID-19,TRANSCOV-19,Recruiting,No Results Available,COVID-19, ,"Study of the consumption of labile blood products at Strasbourg University Hospitals, during the two covid-19 periods: from February 24 to May 31, 2019 and 2020","University Hospital, Strasbourg, France",All,18 Years, ,Adult|Older Adult, ,500,Other,Observational, ,Observational Model: Case-Only|Time Perspective: Retrospective,7958,"September 1, 2020","December 31, 2021","December 31, 2021","October 13, 2021","December 1, 2021","Service d'Anesthésie et Réanimation chirurgicale - Hôpitaux Universitaires de Strasbourg, Strasbourg, France", ,https://ClinicalTrials.gov/show/NCT05075915
NCT05157217,Impact of the Genetic Polymorphism on COVID-19 in Egypt, ,Not yet recruiting,No Results Available,COVID-19, ,"ACE I/D gene polymorphism (rs4343)|Angiotensin-converting enzyme 2 (ACE2) gene polymorphism (rs908004)|Type 2 transmembrane serine protease (TMPRSS2) gene polymorphism (rs12329760)|Potential interaction between ACE (I/D), ACE2 and TMPRSS2 gene polymorphisms and the occurrences of severe complications in patients with COVID-19 disease.1",Cairo University|Misr International University,All,18 Years,80 Years,Adult|Older Adult, ,98,Other,Observational, ,Observational Model: Case-Control|Time Perspective: Other,N-134-2020,December 2021,February 2022,March 2022,"December 14, 2021","December 14, 2021","Cairo University Hospitals, Cairo, Egypt", ,https://ClinicalTrials.gov/show/NCT05157217
